,Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y,deteriorated,dist
1424,I-16,WB,16.99110635,16.98786961,1452,17.09,NC,NC,NC,NC,NC,,,,,0,-83.46375940168366,32.667376258087266,0,5
1425,I-16,WB,16.98786961,16.9848412,1453,15.99,NC,NC,NC,NC,NC,,,,,0,-83.46380595003299,32.66740231212703,0,4
1426,I-16,WB,16.9848412,16.98063476,1454,22.21,NC,NC,NC,NC,NC,,,,,0,-83.4638495022904,32.66742668956726,0,3
1427,I-16,WB,16.98063476,16.97625218,1455,23.14,NC,NC,NC,NC,NC,,,,,0,-83.46390999607391,32.667460550250155,0,2
1428,I-16,WB,16.97625218,16.97301922,1456,17.07,NC,NC,L1,L1,L1,,,,,0,-83.46397302291234,32.66749582951955,0,1
1429,I-16,WB,16.97301922,16.97003438,1457,15.76,L2,L2,L2,L2,L2,,,,,0,-83.46401951677939,32.66752185495226,0,0
1430,I-16,WB,16.97003438,16.96585445,1458,22.07,L2,SS,SS,SS,SS,,,,,0,-83.46406244257425,32.66754588348719,0,0
1431,I-16,WB,16.96585445,16.96144346,1459,23.29,T2,T2,T2,T2,T2,,,,,0,-83.46412255502693,32.66757953316496,0,0
1432,I-16,WB,16.96144346,16.95821808,1460,17.03,NC,NC,NC,NC,NC,,,,,0,-83.46418599041222,32.66761504370015,0,1
1433,I-16,WB,16.95821808,16.9552124,1461,15.87,NC,NC,NC,NC,NC,,,,,0,-83.46423237532255,32.66764101003809,0,2
1434,I-16,WB,16.9552124,16.95102679,1462,22.1,NC,NC,NC,NC,NC,,,,,0,-83.46427560071889,32.66766520805106,0,1
1435,I-16,WB,16.95102679,16.94663664,1463,23.18,T2,T2,T2,T2,T2,,,,,0,-83.46433579487264,32.66769890593638,0,0
1436,I-16,WB,16.94663664,16.94341315,1464,17.02,NC,NC,NC,NC,NC,,,,,0,-83.46439893063794,32.667734251348115,0,1
1437,I-16,WB,16.94341315,16.94040558,1465,15.88,CC,CC,CC,CC,CC,,,,,0,-83.46444528830295,32.66776020434895,0,0
1438,I-16,WB,16.94040558,16.93614232,1466,22.51,NC,NC,NC,NC,NC,,,,,0,-83.46448854092884,32.667784419396654,0,1
1439,I-16,WB,16.93614232,16.93169156,1467,23.5,NC,NC,T1,T2,T2,,,,,0,-83.46454985179581,32.66781874499215,0,1
1440,I-16,WB,16.93169156,16.92840747,1468,17.34,L1,L1,L1,T1,T2,,,,,0,-83.46461385913912,32.667854581028045,0,0
1441,I-16,WB,16.92840747,16.92531845,1469,16.31,SS,SS,SS,SS,SS,,,,,0,-83.46466108838501,32.66788102397637,0,0
1442,I-16,WB,16.92531845,16.92116315,1470,21.94,CC,CC,CC,CC,CC,,,,,0,-83.46470551220105,32.66790589661214,0,0
1443,I-16,WB,16.92116315,16.91701921,1471,21.88,NC,NC,NC,NC,NC,,,,,0,-83.46476527053836,32.667939355563995,0,1
1444,I-16,WB,16.91701921,16.91259875,1472,23.34,NC,NC,L1,L1,CC,,,,,0,-83.46482486544961,32.66797272372481,0,2
1445,I-16,WB,16.91259875,16.90938095,1473,16.99,NC,NC,T2,T2,T2,,,,,0,-83.46488843698316,32.668008319245125,0,1
1446,I-16,WB,16.90938095,16.90635254,1474,15.99,SS,SS,SS,SS,SS,,,,,0,-83.46493471291718,32.66803423099168,0,0
1447,I-16,WB,16.90635254,16.90219344,1475,21.96,SS,SS,SS,SS,SS,,,,,0,-83.4649782651335,32.66805861801961,0,0
1448,I-16,WB,16.90219344,16.89776541,1476,23.38,CC,CC,CC,CC,CC,,,,,0,-83.46503807793071,32.66809211076217,0,0
1449,I-16,WB,16.89776541,16.89446238,1477,17.44,SS,SS,SS,SS,SS,,,,,0,-83.4651017584007,32.66812777004984,0,0
1450,I-16,WB,16.89446238,16.8913942,1478,16.2,CC,CC,CC,SS,SS,,,,,0,-83.46514925999769,32.6681543701817,0,0
1451,I-16,WB,16.8913942,16.88714988,1479,22.41,NC,T2,T2,T2,CC,,,,,0,-83.46519338418564,32.66817907944373,1,1
1452,I-16,WB,16.88714988,16.88267071,1480,23.65,SS,SS,SS,SS,SS,,,,,0,-83.46525442264276,32.66821326124233,0,0
1453,I-16,WB,16.88267071,16.87933927,1481,17.59,SS,SS,SS,SS,SS,,,,,0,-83.46531883850287,32.66824933525415,0,0
1454,I-16,WB,16.87933927,16.87641124,1482,15.46,SS,SS,SS,SS,SS,,,,,0,-83.46536674864724,32.66827616637024,0,0
1455,I-16,WB,16.87641124,16.87391124,1483,13.2,R,R,R,R,R,,,,,1,-83.46540885727705,32.66829974888035,0,0
1456,I-16,WB,16.87391124,16.87219722,1484,9.05,R,R,R,R,R,,,,,1,-83.46544481031012,32.668319884322806,0,0
1457,I-16,WB,16.87219722,16.86787525,1485,22.82,T1,T2,T2,T2,T2,,,,,0,-83.46546945992668,32.66833368947499,0,0
1458,I-16,WB,16.86787525,16.86457411,1486,17.43,L2,L2,L2,L2,L2,,,,,0,-83.46553161509009,32.66836850035173,0,0
1459,I-16,WB,16.86457411,16.86141692,1487,16.67,L2,L2,L2,L2,L2,,,,,0,-83.46557908942982,32.66839508962972,0,0
1460,I-16,WB,16.86141692,16.8572332,1488,22.09,NC,NC,L2,L2,L2,,,,,0,-83.46562449374444,32.66842052001757,0,1
1461,I-16,WB,16.8572332,16.85274457,1489,23.7,NC,NC,NC,NC,NC,,,,,0,-83.46568466058639,32.66845421941895,0,2
1462,I-16,WB,16.85274457,16.84947562,1490,17.26,NC,NC,NC,NC,NC,,,,,0,-83.46574921260338,32.668490375893235,0,3
1463,I-16,WB,16.84947562,16.84643964,1491,16.03,NC,NC,NC,NC,NC,,,,,0,-83.46579622390024,32.66851670823166,0,4
1464,I-16,WB,16.84643964,16.84229191,1492,21.9,NC,NC,NC,NC,NC,,,,,0,-83.46583988502694,32.66854116454071,0,4
1465,I-16,WB,16.84229191,16.8377957,1493,23.74,NC,NC,NC,NC,NC,,,,,0,-83.46589953434805,32.66857457720348,0,3
1466,I-16,WB,16.8377957,16.83447751,1494,17.52,NC,NC,NC,NC,NC,,,,,0,-83.46596419529646,32.668610798173475,0,2
1467,I-16,WB,16.83447751,16.83135251,1495,16.5,NC,NC,NC,NC,NC,,,,,0,-83.4660119147455,32.66863752983949,0,1
1468,I-16,WB,16.83135251,16.82715365,1496,22.17,T2,T2,T2,T2,T2,,,,,0,-83.46605685600427,32.668662705809055,0,0
1469,I-16,WB,16.82715365,16.82271804,1497,23.42,T1,T2,T2,T2,T2,,,,,0,-83.46611724070921,32.668696534044706,0,0
1470,I-16,WB,16.82271804,16.82139418,1498,6.99,R,R,R,R,R,,,,,1,-83.46618103004788,32.668732270857475,0,0
1471,I-16,WB,16.82139418,16.8193241,1499,10.93,R,R,R,R,R,,,,,1,-83.46620006879367,32.668742937331224,0,0
1472,I-16,WB,16.8193241,16.81610819,1500,16.98,NC,NC,NC,NC,NC,,,,,0,-83.4662298389628,32.668759616333816,0,1
1473,I-16,WB,16.81610819,16.8120097,1501,21.64,NC,NC,NC,NC,NC,,,,,0,-83.4662760875844,32.66878552815688,0,2
1474,I-16,WB,16.8120097,16.80760061,1502,23.28,NC,NC,NC,NC,NC,,,,,0,-83.46633502869378,32.66881855257169,0,1
1475,I-16,WB,16.80760061,16.80497372,1503,13.87,R,R,R,R,R,,,,,1,-83.46639843667434,32.66885408215212,0,0
1476,I-16,WB,16.80497372,16.80010629,1504,25.7,B,B,B,B,B,,,,,1,-83.46643621451757,32.66887525344751,0,0
1477,I-16,WB,16.80010629,16.79566311,1505,23.46,NC,NC,NC,NC,NC,,,,,0,-83.46650621309306,32.66891458494516,0,2
1478,I-16,WB,16.79566311,16.79251727,1506,16.61,NC,NC,NC,L1,L1,,,,,0,-83.4665701105948,32.66895049287702,0,3
1479,I-16,WB,16.79251727,16.78940364,1507,16.44,NC,NC,NC,NC,NC,,,,,0,-83.46661535089582,32.66897591662566,0,2
1480,I-16,WB,16.78940364,16.7853203,1508,21.56,NC,NC,NC,NC,NC,,,,,0,-83.46666012817005,32.66900108052684,0,1
1481,I-16,WB,16.7853203,16.78099075,1509,22.86,L1,L2,L2,L2,SS,,,,,0,-83.46671885067595,32.66903408189992,0,0
1482,I-16,WB,16.78099075,16.77774265,1510,17.15,NC,NC,T1,T1,T1,,,,,0,-83.46678111396105,32.669069073823046,0,1
1483,I-16,WB,16.77774265,16.77479946,1511,15.54,NC,NC,NC,NC,NC,,,,,0,-83.46682782504143,32.6690953258759,0,2
1484,I-16,WB,16.77479946,16.77062522,1512,22.04,NC,NC,NC,T2,T2,,,,,0,-83.46687015099863,32.66911911378749,0,3
1485,I-16,WB,16.77062522,16.76613469,1513,23.71,NC,NC,NC,NC,NC,,,,,0,-83.4669301808611,32.669152852142616,0,4
1486,I-16,WB,16.76613469,16.76292635,1514,16.94,NC,NC,NC,NC,NC,,,,,0,-83.4669947592629,32.6691891476155,0,4
1487,I-16,WB,16.76292635,16.75983544,1515,16.32,NC,NC,NC,NC,T2,,,,,0,-83.46704089836382,32.66921507997368,0,3
1488,I-16,WB,16.75983544,16.75569529,1516,21.86,NC,NC,NC,NC,NC,,,,,0,-83.46708534878309,32.669240063574016,0,2
1489,I-16,WB,16.75569529,16.75124074,1517,23.52,NC,NC,NC,T1,T2,,,,,0,-83.46714488837434,32.669273528677294,0,1
1490,I-16,WB,16.75124074,16.74690173,1518,22.91,T2,T2,T2,T2,T2,,,,,0,-83.46720894926749,32.66930953575382,0,0
1491,I-16,WB,16.74690173,16.74370476,1519,16.88,NC,NC,NC,NC,NC,,,,,0,-83.46727134871456,32.66934460968017,0,1
1492,I-16,WB,16.74370476,16.74068582,1520,15.94,NC,NC,NC,NC,NC,,,,,0,-83.46731732438566,32.669370452463575,0,2
1493,I-16,WB,16.74068582,16.73649074,1521,22.15,NC,NC,NC,NC,NC,,,,,0,-83.4673607397988,32.66939485648279,0,3
1494,I-16,WB,16.73649074,16.73212142,1522,23.07,NC,NC,NC,NC,NC,,,,,0,-83.46742106924458,32.66942876852185,0,4
1495,I-16,WB,16.73212142,16.72892824,1523,16.86,NC,NC,NC,NC,NC,,,,,0,-83.46748390447041,32.66946408979036,0,4
1496,I-16,WB,16.72892824,16.72588657,1524,16.06,NC,NC,NC,NC,NC,,,,,0,-83.46752982566093,32.66948990370433,0,3
1497,I-16,WB,16.72588657,16.72175399,1525,21.82,NC,NC,NC,NC,NC,,,,,0,-83.46757356790862,32.669514493111166,0,2
1498,I-16,WB,16.72175399,16.71741876,1526,22.89,NC,NC,NC,NC,NC,,,,,0,-83.46763299853185,32.66954790217942,0,1
1499,I-16,WB,16.71741876,16.71416308,1527,17.19,T1,T2,T2,T2,T2,,,,,0,-83.4676953434863,32.66958295022868,0,0
1500,I-16,WB,16.71416308,16.71118391,1528,15.73,NC,NC,NC,NC,NC,,,,,0,-83.46774216348298,32.66960927117887,0,1
1501,I-16,WB,16.71118391,16.70696611,1529,22.27,NC,T2,T2,T2,T2,,,,,0,-83.46778500691077,32.66963335695522,1,2
1502,I-16,WB,16.70696611,16.70255512,1530,23.29,NC,NC,NC,NC,NC,,,,,0,-83.46784566317916,32.6696674573397,0,2
1503,I-16,WB,16.70255512,16.69938656,1531,16.73,NC,NC,NC,T1,T2,,,,,0,-83.4679090975944,32.66970312028139,0,1
1504,I-16,WB,16.69938656,16.69635815,1532,15.99,L1,SS,SS,SS,SS,,,,,0,-83.46795466469291,32.6697287386374,0,0
1505,I-16,WB,16.69635815,16.69223315,1533,21.78,SS,SS,SS,SS,SS,,,,,0,-83.4679982162698,32.669753224194345,0,0
1506,I-16,WB,16.69223315,16.68784868,1534,23.15,NC,T2,T2,T2,CC,,,,,0,-83.4680575379277,32.66978657654936,1,1
