dist,deterioration_rate,distance
1,0.28709055876685935,1
2,0.13898305084745763,2
3,0.0945273631840796,3
4,0.1103448275862069,4
5,0.10576923076923077,5
6,0.14285714285714285,6
7,0.016129032258064516,7
8,0.0625,8
9,0.02564102564102564,9
10,0.08571428571428572,10
11,0.03225806451612903,11
12,0.0,12
13,0.12,13
14,0.045454545454545456,14
15,0.0,15
16,0.0,16
17,0.0,17
18,0.0,18
19,0.0,19
20,0.0,20
