Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y
I-16,WB,19.93081752,19.92777206,614,16.08,NC,NC,NC,NC,NC,,,,,0,-83.42156546363074,32.65017889855491
I-16,WB,19.92777206,19.92452017,615,17.17,NC,NC,NC,NC,NC,,,,,0,-83.42160933698582,32.650188197549355
I-16,WB,19.92452017,19.92008646,616,23.41,NC,NC,NC,NC,NC,,,,,0,-83.42165618434285,32.65019812705187
I-16,WB,19.92008646,19.91591411,617,22.03,NC,NC,NC,NC,NC,,,,,0,-83.42172005718024,32.650211665451
I-16,WB,19.91591411,19.91285729,618,16.14,NC,NC,NC,NC,NC,,,,,0,-83.42178016476642,32.65022440607198
I-16,WB,19.91285729,19.90961676,619,17.11,NC,NC,NC,NC,NC,,,,,0,-83.42182420182641,32.65023374051708
I-16,WB,19.90961676,19.90517168,620,23.47,NC,NC,NC,NC,NC,,,,,0,-83.42187088547514,32.65024363612538
I-16,WB,19.90517168,19.9009766,621,22.15,CC,CC,CC,CC,CC,,,,,0,-83.42193492201666,32.65025721033553
I-16,WB,19.9009766,19.89798039,622,15.82,NC,NC,NC,L1,L1,,,,,0,-83.42199535701361,32.65027002142005
I-16,WB,19.89798039,19.89472849,623,17.17,NC,NC,NC,NC,NC,,,,,0,-83.42203852097036,32.65027917156501
I-16,WB,19.89472849,19.8903497,624,23.12,NC,NC,NC,NC,NC,,,,,0,-83.42208536832379,32.65028910271624
I-16,WB,19.8903497,19.88593493,625,23.31,NC,NC,NC,NC,NC,,,,,0,-83.42214844990797,32.650302475644686
I-16,WB,19.88593493,19.88285349,626,16.27,NC,NC,NC,NC,NC,,,,,0,-83.42221204989536,32.65031595882823
I-16,WB,19.88285349,19.87962811,627,17.03,NC,NC,NC,NC,NC,,,,,0,-83.42225644164925,32.65032537009953
I-16,WB,19.87962811,19.87519629,628,23.4,NC,NC,NC,NC,NC,,,,,0,-83.42230290701875,32.65033522118176
I-16,WB,19.87519629,19.87102773,629,22.01,NC,NC,NC,NC,NC,,,,,0,-83.42236675256389,32.65034875733662
I-16,WB,19.87102773,19.86798227,630,16.08,T2,T2,T2,T2,T2,,,,,0,-83.42242680557368,32.650361489790356
I-16,WB,19.86798227,19.86473417,631,17.15,T2,T2,T2,T2,T2,,,,,0,-83.42247067892146,32.65037079207563
I-16,WB,19.86473417,19.86029477,632,23.44,NC,T2,T2,T2,T2,,,,,0,-83.4225174717017,32.65038071357882
I-16,WB,19.86029477,19.85588757,633,23.27,NC,NC,NC,NC,NC,,,,,0,-83.42258142638123,32.6503942742988
I-16,WB,19.85588757,19.85283454,634,16.12,NC,NC,NC,NC,NC,,,,,0,-83.42264491722447,32.65040773715611
I-16,WB,19.85283454,19.84957128,635,17.23,NC,NC,NC,NC,NC,,,,,0,-83.42268889970723,32.650417063726195
I-16,WB,19.84957128,19.84514704,636,23.36,NC,NC,NC,NC,NC,,,,,0,-83.42273591075968,32.65042703281857
I-16,WB,19.84514704,19.84098037,637,22.0,NC,T2,T2,T2,T2,,,,,0,-83.42279964715914,32.65044054920169
I-16,WB,19.84098037,19.83794628,638,16.02,NC,NC,NC,NC,NC,,,,,0,-83.4228596728756,32.65045327952809
I-16,WB,19.83794628,19.83472658,639,17.0,NC,NC,NC,NC,NC,,,,,0,-83.42290338250822,32.65046255054279
I-16,WB,19.83472658,19.83030234,640,23.36,NC,NC,NC,NC,NC,,,,,0,-83.42294976647912,32.650472219423
I-16,WB,19.83030234,19.82608832,641,22.25,NC,NC,NC,NC,NC,,,,,0,-83.4230135037496,32.6504854193156
I-16,WB,19.82608832,19.82305233,642,16.03,NC,NC,NC,NC,NC,,,,,0,-83.42307421240783,32.65049799223863
I-16,WB,19.82305233,19.82095006,643,11.1,R,R,R,R,R,,,,,1,-83.42311794992622,32.650507050547255
I-16,WB,19.82095006,19.81853907,644,12.73,R,R,R,R,R,,,,,1,-83.42314823604299,32.6505133230634
I-16,WB,19.81853907,19.81632885,645,11.67,R,R,R,R,R,,,,,1,-83.42318296958035,32.650520516753616
I-16,WB,19.81632885,19.81488188,646,7.64,R,R,R,R,R,,,,,1,-83.42321481092986,32.65052711151132
I-16,WB,19.81488188,19.81117922,647,19.55,SS,SS,SS,SS,SS,,,,,0,-83.42323565650906,32.650531428939004
I-16,WB,19.81117922,19.8080618,648,16.46,NC,NC,NC,NC,NC,,,,,0,-83.42328899827235,32.650542476935385
I-16,WB,19.8080618,19.80483263,649,17.05,NC,NC,NC,NC,NC,,,,,0,-83.4233339090354,32.65055177887458
I-16,WB,19.80483263,19.8004046,650,23.38,NC,NC,NC,NC,NC,,,,,0,-83.42338042960074,32.650561414378615
I-16,WB,19.8004046,19.79619248,651,22.24,NC,NC,NC,NC,NC,,,,,0,-83.42344422143707,32.650574627402165
I-16,WB,19.79619248,19.79314323,652,16.1,NC,NC,NC,NC,NC,,,,,0,-83.42350490280695,32.65058719641641
I-16,WB,19.79314323,19.78993869,653,16.92,NC,NC,NC,NC,NC,,,,,0,-83.42354883131631,32.65059629554327
I-16,WB,19.78993869,19.78677959,654,16.68,NC,NC,NC,NC,NC,,,,,0,-83.42359499717803,32.650605858242876
