damaged_states,r2
"['L2', 'L1']",0.24827248286528236
"['T1', 'L2', 'CC']",0.2265437876783556
"['L2', 'CC']",0.1911736082250749
"['R', 'CC']",0.1726415930439803
"['T1', 'L1']",0.16977192868337287
"['CC', 'L1']",0.16759551563016895
['R'],0.1361586644227275
"['T1', 'CC']",0.13432894527266404
"['T1', 'L2']",0.131649562373088
['CC'],0.10496396711603795
['L2'],0.090206165278778
['L1'],0.0787129178843532
['T1'],0.016363865616284667
[],-1.5873022007895088e-08
