Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR
I-16,WB,18.13132452,18.12822793,1117,16.35,NC,NC,NC,NC,NC,,,,
I-16,WB,18.12822793,18.12515028,1118,16.25,NC,NC,T2,T2,T2,,,,
I-16,WB,18.12515028,18.12100255,1119,21.9,L1,L1,L2,L2,L2,,,,
I-16,WB,18.12100255,18.11661808,1120,23.15,NC,NC,NC,NC,NC,,,,
I-16,WB,18.11661808,18.11516353,1121,7.68,CC,CC,CC,CC,NC,,,1,
I-16,WB,18.11516353,18.11281315,1122,12.41,T2,SS,SS,SS,SS,,,,
I-16,WB,18.11281315,18.11039269,1123,12.78,SS,SS,SS,SS,SS,,,,
I-16,WB,18.11039269,18.10618436,1124,22.22,NC,NC,NC,T2,T2,,,,
I-16,WB,18.10618436,18.10180746,1125,23.11,NC,NC,NC,NC,NC,,,,
I-16,WB,18.10180746,18.09856883,1126,17.1,NC,NC,NC,NC,NC,,,,
I-16,WB,18.09856883,18.09554231,1127,15.98,NC,NC,NC,NC,NC,,,,
I-16,WB,18.09554231,18.09136617,1128,22.05,NC,NC,NC,NC,NC,,,,
I-16,WB,18.09136617,18.0870139,1129,22.98,NC,NC,NC,NC,NC,,,,
I-16,WB,18.0870139,18.08369761,1130,17.51,NC,NC,NC,NC,NC,,,,
I-16,WB,18.08369761,18.08073549,1131,15.64,NC,NC,NC,NC,NC,,,,
I-16,WB,18.08073549,18.07656314,1132,22.03,T1,T2,T2,T2,T2,,,,
I-16,WB,18.07656314,18.07207261,1133,23.71,NC,NC,NC,NC,NC,,,,
I-16,WB,18.07207261,18.06892488,1134,16.62,T2,T2,T2,T2,T2,,,,
I-16,WB,18.06892488,18.06590783,1135,15.93,NC,NC,NC,NC,NC,,,,
I-16,WB,18.06590783,18.06172033,1136,22.11,NC,NC,NC,NC,NC,,,,
I-16,WB,18.06172033,18.05728283,1137,23.43,NC,NC,NC,NC,NC,,,,
I-16,WB,18.05728283,18.05411237,1138,16.74,NC,NC,NC,NC,NC,,,,
I-16,WB,18.05411237,18.05105177,1139,16.16,CC,CC,CC,CC,CC,,,,
I-16,WB,18.05105177,18.0466332,1140,23.33,NC,NC,NC,T2,T2,,,,
I-16,WB,18.0466332,18.04214646,1141,23.69,NC,NC,NC,NC,NC,,,,
I-16,WB,18.04214646,18.03896464,1142,16.8,NC,NC,NC,NC,NC,,,,
I-16,WB,18.03896464,18.03595517,1143,15.89,NC,NC,NC,NC,NC,,,,
I-16,WB,18.03595517,18.03182638,1144,21.8,NC,NC,NC,NC,NC,,,,
I-16,WB,18.03182638,18.02740782,1145,23.33,CC,CC,CC,CC,CC,,,,
I-16,WB,18.02740782,18.02416729,1146,17.11,NC,NC,NC,NC,NC,,,,
I-16,WB,18.02416729,18.02116729,1147,15.84,NC,NC,NC,NC,T1,,,,
I-16,WB,18.02116729,18.0169438,1148,22.3,CC,CC,CC,CC,CC,,,,
I-16,WB,18.0169438,18.01258774,1149,23,T1,T2,T2,T2,T2,,,,
I-16,WB,18.01258774,18.00957069,1150,15.93,NC,NC,NC,NC,T1,,,,
I-16,WB,18.00957069,18.0074438,1151,11.23,T2,T2,T2,T2,T2,,,,
I-16,WB,18.0074438,18.00600819,1152,7.58,NC,NC,NC,NC,NC,,,,
I-16,WB,18.00600819,18.00431501,1153,8.94,NC,NC,NC,NC,NC,,,,
I-16,WB,18.00431501,18.00221084,1154,11.11,NC,NC,NC,NC,NC,,,,
I-16,WB,18.00221084,17.99776576,1155,23.47,NC,NC,NC,NC,NC,,,,
I-16,WB,17.99776576,17.99457258,1156,16.86,NC,NC,NC,NC,NC,,,,
I-16,WB,17.99457258,17.9915669,1157,15.87,NC,NC,NC,NC,NC,,,,
I-16,WB,17.9915669,17.98738508,1158,22.08,NC,NC,T1,T2,T2,,,,
I-16,WB,17.98738508,17.98297788,1159,23.27,T1,T2,T2,CC,CC,,,,
I-16,WB,17.98297788,17.97974682,1160,17.06,NC,NC,NC,NC,NC,,,,
I-16,WB,17.97974682,17.97671652,1161,16,T2,T2,T2,T2,T2,,,,
I-16,WB,17.97671652,17.9726275,1162,21.59,T2,T2,T2,T2,T2,,,,
I-16,WB,17.9726275,17.96972598,1163,15.32,NC,NC,NC,NC,NC,,,,
I-16,WB,17.96972598,17.96776954,1164,10.33,NC,NC,NC,NC,NC,,,,
I-16,WB,17.96776954,17.96498545,1165,14.7,NC,NC,NC,NC,T2,,,,
I-16,WB,17.96498545,17.96192674,1166,16.15,NC,NC,NC,NC,NC,,,,
I-16,WB,17.96192674,17.95752333,1167,23.25,NC,NC,T1,T2,T2,,,,
I-16,WB,17.95752333,17.95432636,1168,16.88,T2,T2,T2,T2,T2,,,,
I-16,WB,17.95432636,17.95128469,1169,16.06,SS,SS,SS,SS,SS,,,,
I-16,WB,17.95128469,17.94754605,1170,19.74,NC,NC,CC,CC,CC,,,,
I-16,WB,17.94754605,17.94542673,1171,11.19,NC,NC,NC,NC,NC,,,,
I-16,WB,17.94542673,17.94273544,1172,14.21,NC,NC,NC,NC,NC,,,,
I-16,WB,17.94273544,17.93950249,1173,17.07,NC,NC,NC,NC,NC,,,,
I-16,WB,17.93950249,17.93658393,1174,15.41,NC,NC,NC,NC,NC,,,,
I-16,WB,17.93658393,17.93239074,1175,22.14,NC,NC,NC,NC,T1,,,,
I-16,WB,17.93239074,17.92791158,1176,23.65,T2,T2,T2,T2,T2,,,,
I-16,WB,17.92791158,17.92462938,1177,17.33,NC,NC,NC,NC,T1,,,,
I-16,WB,17.92462938,17.92156309,1178,16.19,T2,T2,T2,T2,T2,,,,
I-16,WB,17.92156309,17.91743619,1179,21.79,T2,T2,T2,T2,T2,,,,
I-16,WB,17.91743619,17.91308392,1180,22.98,NC,NC,NC,NC,NC,,,,
I-16,WB,17.91308392,17.90982634,1181,17.2,NC,NC,NC,NC,NC,,,,
I-16,WB,17.90982634,17.90682255,1182,15.86,NC,NC,NC,NC,NC,,,,
I-16,WB,17.90682255,17.90270702,1183,21.73,CC,CC,CC,CC,CC,,,,
I-16,WB,17.90270702,17.89830551,1184,23.24,NC,NC,NC,NC,NC,,,,
I-16,WB,17.89830551,17.89512937,1185,16.77,NC,NC,T2,T2,T2,,,,
I-16,WB,17.89512937,17.89207634,1186,16.12,T2,T2,T2,T2,T2,,,,
I-16,WB,17.89207634,17.88791724,1187,21.96,NC,NC,NC,NC,NC,,,,
I-16,WB,17.88791724,17.88347974,1188,23.43,NC,NC,NC,T1,T2,,,,
I-16,WB,17.88347974,17.88094755,1189,13.37,NC,NC,NC,NC,NC,,,,
I-16,WB,17.88094755,17.87592103,1190,26.54,T2,T2,T2,T2,T2,,,,
I-16,WB,17.87592103,17.87170322,1191,22.27,NC,NC,NC,NC,T2,,,,
I-16,WB,17.87170322,17.86872216,1192,15.74,NC,NC,NC,NC,NC,,,,
I-16,WB,17.86872216,17.86516724,1193,18.77,NC,NC,NC,NC,NC,,,,
I-16,WB,17.86516724,17.86231686,1194,15.05,NC,NC,NC,NC,NC,,,,
I-16,WB,17.86231686,17.85931117,1195,15.87,NC,NC,NC,NC,T1,,,,
I-16,WB,17.85931117,17.85493807,1196,23.09,NC,NC,NC,NC,NC,,,,
I-16,WB,17.85493807,17.85059905,1197,22.91,NC,NC,NC,NC,NC,,,,
I-16,WB,17.85059905,17.84734716,1198,17.17,NC,NC,NC,NC,NC,,,,
I-16,WB,17.84734716,17.84436799,1199,15.73,NC,L1,L1,L2,L2,,,,
I-16,WB,17.84436799,17.84021647,1200,21.92,NC,NC,NC,NC,NC,,,,
I-16,WB,17.84021647,17.83581306,1201,23.25,NC,NC,NC,T1,T1,,,,
I-16,WB,17.83581306,17.83257064,1202,17.12,NC,NC,NC,NC,NC,,,,
I-16,WB,17.83257064,17.82984715,1203,14.38,NC,NC,NC,NC,NC,,,,
I-16,WB,17.82984715,17.82759904,1204,11.87,NC,NC,NC,T2,T2,,,,
I-16,WB,17.82759904,17.82528844,1205,12.2,NC,NC,NC,NC,NC,,,,
I-16,WB,17.82528844,17.82099298,1206,22.68,T2,T2,T2,T2,T2,,,,
I-16,WB,17.82099298,17.81788503,1207,16.41,NC,NC,NC,NC,NC,,,,
I-16,WB,17.81788503,17.81487745,1208,15.88,NC,NC,NC,NC,NC,,,,
I-16,WB,17.81487745,17.8107032,1209,22.04,NC,NC,NC,NC,NC,,,,
I-16,WB,17.8107032,17.80673351,1210,20.96,NC,NC,NC,NC,NC,,,,
I-16,WB,17.80673351,17.80443426,1211,12.14,R,R,R,R,R,1,2015,1,
I-16,WB,17.80443426,17.80298351,1212,7.66,R,R,R,R,R,1,2015,,
I-16,WB,17.80298351,17.80064828,1213,12.33,R,R,R,R,R,,,,
I-16,WB,17.80064828,17.79910661,1214,8.14,R,R,R,R,R,,,,
I-16,WB,17.79910661,17.79477328,1215,22.88,T2,T2,T2,T2,SS,,,,
I-16,WB,17.79477328,17.79040964,1216,23.04,T2,SS,SS,SS,SS,,,,
I-16,WB,17.79040964,17.78721645,1217,16.86,SS,SS,SS,SS,SS,,,,
I-16,WB,17.78721645,17.78418615,1218,16,NC,T1,T2,T2,T2,,,,
I-16,WB,17.78418615,17.77998539,1219,22.18,L1,L1,L1,L1,L1,,,,
I-16,WB,17.77998539,17.77558766,1220,23.22,NC,NC,T1,T2,T2,,,,
I-16,WB,17.77558766,17.7712638,1221,22.83,T2,T2,T2,T2,T2,,,,
I-16,WB,17.7712638,17.76793236,1222,17.59,NC,NC,NC,T1,T2,,,,
I-16,WB,17.76793236,17.7650119,1223,15.42,NC,NC,NC,NC,NC,,,,
I-16,WB,17.7650119,17.76062743,1224,23.15,NC,NC,NC,NC,NC,,,,
I-16,WB,17.76062743,17.75618235,1225,23.47,NC,NC,NC,NC,NC,,,,
I-16,WB,17.75618235,17.75323538,1226,15.56,NC,NC,NC,NC,NC,,,,
I-16,WB,17.75323538,17.74909902,1227,21.84,NC,NC,NC,NC,NC,,,,
I-16,WB,17.74909902,17.74671455,1228,12.59,L1,L1,CC,CC,CC,,,,
I-16,WB,17.74671455,17.74443046,1229,12.06,NC,NC,NC,NC,NC,,,,
I-16,WB,17.74443046,17.74039068,1230,21.33,NC,NC,NC,NC,NC,,,,
I-16,WB,17.74039068,17.73711038,1231,17.32,NC,NC,NC,NC,NC,,,,
I-16,WB,17.73711038,17.73406492,1232,16.08,NC,NC,NC,NC,NC,,,,
I-16,WB,17.73406492,17.72990015,1233,21.99,NC,NC,NC,NC,NC,,,,
I-16,WB,17.72990015,17.72552894,1234,23.08,L1,L1,L1,L1,L1,,,,
I-16,WB,17.72552894,17.72329787,1235,11.78,L2,L2,L2,L2,L2,,,,
I-16,WB,17.72329787,17.72128651,1236,10.62,SS,SS,SS,SS,SS,,,,
I-16,WB,17.72128651,17.71901378,1237,12,SS,SS,SS,SS,SS,,,,
I-16,WB,17.71901378,17.71512742,1238,20.52,R,R,R,R,R,1,2015,1,
I-16,WB,17.71512742,17.71073726,1239,23.18,NC,NC,NC,T1,T2,,,,
I-16,WB,17.71073726,17.70775999,1240,15.72,NC,NC,NC,NC,NC,,,,
I-16,WB,17.70775999,17.70355923,1241,22.18,NC,NC,NC,NC,NC,,,,
I-16,WB,17.70355923,17.69922968,1242,22.86,CC,CC,CC,CC,CC,,,,
I-16,WB,17.69922968,17.6961293,1243,16.37,NC,NC,NC,NC,CC,,,,
I-16,WB,17.6961293,17.69172589,1244,23.25,CC,CC,CC,CC,CC,,,,
I-16,WB,17.69172589,17.68736604,1245,23.02,T2,T2,T2,T2,T2,,,,
I-16,WB,17.68736604,17.68414635,1246,17,NC,NC,NC,NC,NC,,,,
I-16,WB,17.68414635,17.68114066,1247,15.87,NC,NC,NC,NC,NC,,,,
I-16,WB,17.68114066,17.67696074,1248,22.07,NC,NC,NC,NC,NC,,,,
I-16,WB,17.67696074,17.67254975,1249,23.29,NC,NC,NC,NC,NC,,,,
I-16,WB,17.67254975,17.6680952,1250,23.52,NC,NC,NC,NC,T1,,,,
I-16,WB,17.6680952,17.66500998,1251,16.29,NC,NC,NC,NC,NC,,,,
I-16,WB,17.66500998,17.66196073,1252,16.1,L1,L1,L1,L1,L1,,,,
I-16,WB,17.66196073,17.65973535,1253,11.75,L2,L2,L2,L2,L2,,,,
I-16,WB,17.65973535,17.65784331,1254,9.99,SS,SS,SS,SS,SS,,,,
I-16,WB,17.65784331,17.6533774,1255,23.58,T2,T2,T2,T2,T2,,,,
